iter	Passed	Remaining
757	8033	2564
758	8042	2553
759	8051	2542
760	8061	2531
761	8069	2520
762	8079	2509
763	8088	2498
764	8097	2487
765	8108	2477
766	8116	2465
767	8125	2454
768	8134	2443
769	8143	2432
770	8152	2421
771	8160	2409
772	8169	2398
773	8177	2387
774	8186	2376
775	8194	2365
776	8203	2354
777	8211	2343
778	8220	2332
779	8229	2321
780	8237	2309
781	8246	2298
782	8254	2287
783	8263	2276
784	8272	2265
785	8283	2255
786	8293	2244
787	8301	2233
788	8310	2222
789	8318	2211
790	8327	2200
791	8336	2189
792	8345	2178
793	8355	2167
794	8364	2156
795	8373	2145
796	8381	2134
797	8390	2123
798	8398	2112
799	8407	2101
800	8416	2091
801	8425	2080
802	8434	2069
803	8442	2058
804	8453	2047
805	8461	2036
806	8472	2026
807	8481	2015
808	8489	2004
809	8498	1993
810	8506	1982
811	8515	1971
812	8523	1960
813	8533	1949
814	8541	1938
815	8550	1927
816	8559	1917
817	8567	1906
818	8577	1895
819	8585	1884
820	8594	1873
821	8602	1862
822	8611	1852
823	8620	1841
824	8629	1830
825	8639	1819
826	8648	1809
827	8657	1798
828	8665	1787
829	8674	1776
830	8682	1765
831	8690	1754
832	8699	1743
833	8707	1733
834	8716	1722
835	8724	1711
836	8733	1700
837	8741	1689
838	8749	1678
839	8757	1668
840	8766	1657
841	8774	1646
842	8783	1635
843	8791	1624
844	8799	1614
845	8809	1603
846	8819	1593
847	8828	1582
848	8836	1571
849	8845	1560
850	8853	1550
851	8862	1539
852	8870	1528
853	8878	1517
854	8886	1507
855	8894	1496
856	8902	1485
857	8910	1474
858	8918	1463
859	8926	1453
860	8934	1442
861	8941	1431
862	8950	1420
863	8957	1410
864	8966	1399
865	8974	1388
866	8984	1378
867	8992	1367
868	9002	1357
869	9010	1346
870	9020	1336
871	9030	1325
872	9037	1314
873	9047	1304
874	9055	1293
875	9064	1283
876	9073	1272
877	9082	1261
878	9090	1251
879	9099	1240
880	9107	1230
881	9115	1219
882	9125	1209
883	9133	1198
884	9142	1187
885	9150	1177
886	9165	1167
887	9175	1157
888	9183	1146
889	9192	1136
890	9200	1125
891	9209	1115
892	9218	1104
893	9226	1093
894	9235	1083
895	9243	1072
896	9252	1062
897	9260	1051
898	9269	1041
899	9278	1030
900	9287	1020
901	9296	1010
902	9304	999
903	9313	989
904	9322	978
905	9331	968
906	9340	957
907	9350	947
908	9359	936
909	9367	926
910	9377	916
911	9386	905
912	9395	895
913	9403	884
914	9412	874
915	9438	865
916	9456	855
917	9468	845
918	9479	835
919	9490	825
920	9500	814
921	9511	804
922	9519	794
923	9528	783
924	9537	773
925	9545	762
926	9553	752
927	9562	741
928	9571	731
929	9578	720
930	9588	710
931	9596	700
932	9607	689
933	9616	679
934	9625	669
935	9634	658
936	9642	648
937	9651	637
938	9659	627
939	9668	617
940	9676	606
941	9685	596
942	9693	585
943	9702	575
944	9710	565
945	9719	554
